125	9179900	1953125
142	10896300	2863288
176	4310600	5451776
182	25383400	6028568
202	4282400	8242408
235	6717100	12977875
259	11305300	17373979
266	12702300	18821096
299	17812300	26730899
315	14329200	31255875
337	18218700	38272753
342	18100000	40001688
374	25120000	52313624
400	29652200	64000000
413	37768900	70444997
434	47165600	81746504
451	71849300	91733851
463	78126500	99252847
493	78201300	119823157
516	91387400	137388096
540	73341100	157464000
556	74657500	171879616
579	86229000	194104539
598	92015300	213847192
608	98695200	224755712
632	121049300	252435968
656	134330900	282300416
672	148006500	303464448
698	152833600	340068392
717	169293800	368601813
723	169115300	377933067
757	196927300	433798093
773	243632800	461889917
799	224174500	510082399
812	232848000	535387328
831	300179200	573856191
854	320014000	622835864
863	325047100	642735647
900	375945800	729000000
903	512012700	736314327
926	384785900	794022776
948	399256000	851971392
980	428794700	941192000
993	417622900	979146657
1008	443671400	1024192512
1025	482096600	1076890625
1050	496279200	1157625000
1068	524744600	1218186432
1095	551991000	1312932375
1114	649398300	1382469544
1126	614652900	1427628376
1153	651553900	1532808577
1162	692870100	1568983528
1185	725589900	1664006625
1203	763536700	1740992427
1233	854155500	1874516337
1246	860836700	1934434936
1274	946798200	2067798824
1294	1056828100	2166720184
1302	1024393300	2207155608
1329	1102201000	2347334289
1342	1137031300	2416893688
1367	1285640200	2554497863
1382	1376531700	2639514968
1412	1387639600	2815166528
1431	1476459300	2930345991
1450	1514527100	3048625000
1476	1645934600	3215578176
1483	1715658700	3261545587
1501	1720494400	3381754501
1539	1846815800	3645153819
1541	1897523700	3659383421
1576	2008541500	3914430976
1585	2001116900	3981876625
1617	2175225700	4227952113
1622	2290856300	4267293848
1647	2258643200	4467667023
1671	2444859800	4665834711
1688	2586157100	4809692672
1703	2506800700	4939055927
1727	2718873900	5150827583
1743	2720338600	5295319407
1771	2890777000	5554637011
1790	2936897400	5735339000
1801	2970410700	5841725401
1837	3206015500	6199083253
1856	3274500400	6393430016
1872	3367408800	6560206848
1886	3464519900	6708494456
1919	3715019500	7066834559
1925	3788169500	7133328125
1942	3865942700	7323988888
1977	3925263000	7727161833
1994	4032859700	7928215784
2011	4127523100	8132727331
2040	4369964400	8489664000
2058	4450562100	8716379112
2078	4775973900	8972978552
2083	4717131900	9037905787
2110	4945060000	9393931000
